ID TIME BLOCK BALANCE #RESOURCES
1 0.51 1 21.00 0
1 1.54 2 21.00 0
1 3.058 3 21.00 0
1 5.572 4 21.00 0
1 7.59 5 21.00 0
1 9.604 6 21.00 0
1 10.125 6 21.00 0
1 10.64 6 21.00 0
1 11.148 6 21.00 0
1 11.679 7 21.00 0
1 14.699 8 21.00 0
1 15.721 9 21.00 0
1 46.33 15 21.00 0
1 49.357 16 21.00 0
1 50.869 17 21.00 0
1 53.884 19 21.00 0
1 58.914 20 21.00 0
1 60.443 21 21.00 0
1 61.458 22 21.00 0
1 64.98 23 21.00 1
1 68.5 24 21.00 2
1 70.521 25 21.00 2
1 71.535 26 21.00 2
1 73.555 27 21.00 2
1 75.073 28 21.00 2
1 78.593 29 21.00 2
1 79.105 30 21.00 2
1 81.135 31 21.00 2
1 83.656 32 21.00 2
1 85.177 33 21.00 2
1 87.194 34 21.00 2
1 89.211 35 21.00 2
1 91.731 36 21.00 2
1 93.273 37 21.00 2
1 95.289 38 21.00 2
1 98.307 39 21.00 2
1 103.33 40 21.00 2
1 114.369 42 21.00 2
1 118.393 43 21.00 2
1 130.939 45 21.00 2
1 134.481 46 21.00 2
1 136.496 47 21.00 2
1 137.01 48 21.00 2
1 138.527 49 21.00 2
1 142.077 50 21.00 2
1 144.115 51 21.00 2
1 146.133 52 21.00 2
1 147.662 53 21.00 2
1 149.175 54 21.00 2
1 152.204 55 21.00 2
1 153.221 56 21.00 2
1 155.239 57 21.00 2
1 158.764 58 21.00 2
1 160.785 59 21.00 2
1 162.303 60 21.00 2
1 164.825 61 21.00 2
1 167.347 62 21.00 2
1 168.365 63 21.00 2
1 171.385 64 21.00 2
1 172.411 65 21.00 2
1 176.431 67 21.00 2
1 209.533 77 21.00 2
1 210.09 78 21.00 2
1 210.603 79 21.00 2
1 212.624 80 21.00 2
1 215.159 81 21.00 2
1 217.18 82 21.00 2
1 218.699 83 21.00 2
1 220.715 84 21.00 2
1 222.229 85 21.00 2
1 224.246 86 21.00 2
1 226.264 87 21.00 2
1 228.282 88 21.00 2
1 228.796 88 21.00 2
1 230.326 89 21.00 2
1 232.347 90 21.00 2
1 234.362 91 21.00 2
1 238.897 92 21.00 2
1 239.41 93 21.00 2
1 241.932 94 21.00 2
1 243.475 95 21.00 2
1 244.496 96 21.00 2
1 247.541 97 21.00 2
1 248.059 97 21.00 2
1 249.592 98 21.00 2
1 255.624 100 21.00 2
1 269.183 101 21.00 2
1 291.264 113 21.00 2
1 292.301 113 21.00 2
1 296.325 114 21.00 2
1 297.364 115 21.00 2
1 301.398 118 21.00 2
1 301.939 118 21.00 2
1 302.468 119 21.00 2
1 304.99 120 21.00 2
1 307.507 121 21.00 2
1 309.046 122 21.00 2
1 312.07 123 21.00 2
1 313.59 124 21.00 2
1 320.143 125 21.00 2
1 321.16 126 21.00 2
1 323.681 127 21.00 2
1 325.225 128 21.00 2
1 330.264 129 21.00 2
1 333.283 130 21.00 2
1 335.804 130 21.00 2
1 337.319 131 21.00 2
1 339.336 132 21.00 2
1 339.848 133 21.00 2
1 342.367 134 21.00 2
1 343.886 135 21.00 2
1 348.408 136 21.00 2
1 348.921 136 21.00 2
1 349.938 137 21.00 2
1 357.971 138 21.00 2
1 360.99 139 21.00 2
1 370.024 147 21.00 2
1 370.553 148 21.00 2
1 371.09 148 21.00 2
1 374.61 149 21.00 2
1 377.63 150 21.00 2
1 381.177 153 21.00 2
1 384.712 154 21.00 1
1 391.24 157 21.00 1
1 391.754 158 21.00 1
1 392.264 159 21.00 1
1 395.307 160 21.00 1
1 398.35 161 21.00 1
1 409.415 162 21.00 1
1 414.442 163 21.00 1
1 415.959 164 21.00 1
1 416.988 165 21.00 1
1 417.498 166 21.00 1
1 420.516 167 21.00 1
1 421.529 168 21.00 1
1 423.573 169 21.00 1
1 425.588 170 21.00 1
1 427.101 171 21.00 1
1 429.632 172 21.00 1
1 431.145 173 21.00 1
1 433.664 174 21.00 1
1 435.206 175 21.00 1
1 442.767 176 21.00 1
1 444.282 177 21.00 1
1 470.365 188 21.00 0
1 471.894 189 21.00 0
1 474.914 190 21.00 0
1 475.422 191 21.00 0
1 479.464 192 21.00 0
1 482.985 193 21.00 0
1 485.003 195 21.00 0
1 485.536 195 21.00 0
