ID TIME #BLOCKS
24 0.513 2
24 2.547 1
24 5.089 1
24 7.122 1
24 8.633 1
24 10.647 1
24 13.68 1
24 14.224 1
24 20.763 1
24 28.31 4
24 33.865 1
24 40.424 3
24 43.49 1
24 44.016 1
24 49.563 1
24 52.109 2
24 53.636 1
24 55.656 1
24 58.175 1
24 58.684 1
24 61.706 1
24 62.719 1
24 64.751 1
24 66.774 1
24 71.316 2
24 74.37 1
24 75.89 1
24 76.402 1
24 79.442 1
24 80.988 1
24 82.51 1
24 85.033 1
24 89.578 1
24 90.094 1
24 90.607 1
24 93.133 1
24 94.66 1
24 99.722 1
24 121.344 5
24 126.902 1
24 128.428 2
24 131.465 1
24 131.977 1
24 134.009 1
24 135.525 1
24 137.555 1
24 139.585 1
24 141.608 1
24 143.624 1
24 145.642 1
24 147.66 1
24 149.691 1
24 151.714 1
24 154.229 2
24 155.744 1
24 157.76 1
24 159.795 1
24 165.338 3
24 166.859 1
24 169.388 1
24 170.417 1
24 173.453 1
24 177.99 1
24 178.499 2
24 179.012 1
24 200.122 10
24 202.185 1
24 203.201 1
24 205.232 1
24 206.776 1
24 207.298 1
24 208.81 1
24 210.825 1
24 212.84 1
24 214.872 1
24 217.394 1
24 218.405 1
24 221.436 1
24 223.465 1
24 225.478 1
24 226.989 1
24 251.597 8
24 253.647 1
24 266.715 5
24 270.788 1
24 276.33 7
24 277.388 1
24 279.416 1
24 280.427 1
24 284.449 1
24 285.471 1
24 287.0 1
24 290.536 2
24 292.575 1
24 295.1 2
24 297.634 1
24 298.66 1
24 299.202 1
24 301.733 1
24 311.281 1
24 344.425 9
24 345.965 1
24 346.5 2
24 349.527 1
24 350.537 1
24 353.067 1
24 354.093 1
24 355.61 1
24 357.628 1
24 359.646 1
24 360.157 1
24 361.692 1
24 364.236 1
24 365.773 1
24 367.805 1
24 370.34 1
24 371.874 1
24 373.893 1
24 374.402 1
24 374.912 1
24 376.425 1
24 377.94 1
24 383.971 1
24 389.01 1
24 391.538 1
24 392.065 1
24 394.601 2
24 395.628 1
24 399.16 1
24 400.195 1
24 407.247 1
24 409.267 1
24 410.282 1
24 412.3 1
24 413.813 1
24 417.838 1
24 418.347 1
24 419.861 1
24 421.877 1
24 423.892 1
24 425.408 1
24 425.917 1
24 427.443 1
24 432.489 2
24 435.015 1
24 435.524 1
24 437.552 1
24 444.116 1
24 445.653 1
24 487.368 11
24 489.426 1
24 496.977 16
24 498.066 1
24 499.59 1
24 501.605 1
24 503.633 1
24 505.676 1
24 508.225 1
24 510.745 1
24 511.755 1
24 513.782 1
24 516.319 1
24 518.338 1
24 520.354 1
24 524.375 1
24 524.896 1
24 527.431 1
24 527.944 1
24 530.462 1
24 532.49 1
24 534.516 2
24 535.028 2
24 536.055 1
24 538.086 1
24 543.625 3
24 544.639 2
24 548.174 1
24 548.697 1
24 549.734 1
24 552.778 1
24 553.29 1
24 555.306 1
24 556.82 1
24 558.839 1
24 560.865 1
24 563.911 1
24 565.935 1
24 567.461 1
24 570.506 1
24 571.541 1
24 574.057 1
24 576.586 1
24 578.113 1
24 579.627 1
24 590.171 4
24 600.232 2
24 619.335 9
24 619.857 1
24 624.888 2
24 626.417 1
24 627.941 1
24 629.455 1
24 631.468 2
24 633.987 1
24 635.514 1
24 637.542 1
24 639.563 1
24 641.594 1
24 643.636 1
24 645.679 1
24 647.707 1
24 649.738 1
24 652.773 1
24 653.786 1
24 655.802 1
24 658.327 1
24 660.859 1
24 670.902 2
24 674.93 2
24 676.463 1
24 680.514 1
24 681.047 2
24 684.095 1
24 685.118 1
24 686.143 1
24 689.678 1
24 698.247 1
24 700.785 4
24 702.844 2
24 705.361 1
24 707.387 1
24 708.91 1
24 712.446 1
24 716.979 1
24 719.497 2
24 720.529 1
24 723.57 1
24 730.627 3
24 734.185 1
24 735.207 1
24 769.373 1
24 775.936 8
24 776.475 1
24 778.001 1
24 780.039 1
24 781.565 1
24 783.606 1
24 785.649 1
24 789.684 2
24 791.701 1
24 793.716 1
24 795.743 1
24 797.778 1
24 800.797 1
24 801.821 1
24 803.865 1
24 805.881 1
24 808.911 1
24 810.45 1
24 812.495 2
24 813.509 1
24 816.541 1
24 817.581 1
24 821.129 1
24 830.187 1
24 835.248 1
24 841.287 1
24 844.326 4
24 845.356 1
24 845.878 1
24 848.407 1
24 849.433 1
24 849.956 1
24 850.967 1
24 853.481 1
24 855.006 1
24 857.047 1
24 858.563 1
24 860.587 1
24 862.606 1
24 865.129 1
