ID TIME BLOCK BALANCE #RESOURCES
24 624.89 269 21.00 0
24 626.42 270 21.00 0
24 627.944 271 21.00 0
24 629.457 271 21.00 0
24 631.47 273 21.00 0
24 633.989 274 21.00 0
24 635.523 275 21.00 0
24 637.545 276 21.00 0
24 639.566 277 21.00 0
24 641.607 278 21.00 0
24 643.645 279 21.00 0
24 645.686 280 21.00 0
24 647.709 281 21.00 0
24 649.749 282 21.00 0
24 652.776 283 21.00 0
24 653.788 284 21.00 0
24 655.805 285 21.00 0
24 658.33 286 21.00 0
24 660.862 287 21.00 0
24 670.904 289 21.00 0
24 674.933 291 21.00 0
24 676.472 292 21.00 0
24 680.522 293 21.00 0
24 681.056 294 21.00 0
24 684.097 295 21.00 0
24 685.127 296 21.00 0
24 686.144 296 21.00 0
24 689.687 297 21.00 0
24 698.256 298 21.00 0
24 700.794 302 21.00 0
24 702.846 304 21.00 0
24 705.363 305 21.00 0
24 707.396 306 21.00 0
24 708.912 307 21.00 0
24 712.455 308 21.00 0
24 716.981 309 21.00 0
24 719.5 311 21.00 0
24 720.537 312 21.00 0
24 723.581 313 21.00 0
24 730.636 316 21.00 0
24 734.193 317 21.00 0
24 735.209 318 21.00 0
24 769.382 319 21.00 0
24 775.946 327 21.00 0
24 776.477 328 21.00 0
24 778.009 329 21.00 0
24 780.041 330 21.00 0
24 781.574 331 21.00 0
24 783.615 332 21.00 0
24 785.659 333 21.00 0
24 789.686 335 21.00 0
24 791.704 336 21.00 0
24 793.718 337 21.00 0
24 795.754 338 21.00 0
24 797.781 339 21.00 0
24 800.799 340 21.00 0
24 801.83 341 21.00 0
24 803.868 342 21.00 0
24 805.883 343 21.00 0
24 808.92 344 21.00 0
24 810.459 345 21.00 0
24 812.497 346 21.00 0
24 813.511 347 21.00 0
24 816.55 348 21.00 0
24 817.589 349 21.00 0
24 821.131 350 21.00 0
24 830.198 351 21.00 0
24 835.25 352 21.00 0
24 841.296 353 21.00 0
24 844.328 357 21.00 0
24 845.36 358 21.00 0
24 845.887 358 21.00 0
24 848.409 359 21.00 0
24 849.441 359 21.00 0
24 849.958 360 21.00 0
24 850.969 361 21.00 0
24 853.483 362 21.00 0
24 855.014 363 21.00 0
24 857.051 364 21.00 0
24 858.566 365 21.00 0
24 860.59 366 21.00 0
24 862.609 367 21.00 0
24 865.131 367 21.00 0
