ID TIME #BLOCKS
13 1.035 2
13 3.078 2
13 4.606 1
13 6.637 1
13 9.682 1
13 11.213 1
13 15.756 1
13 18.796 1
13 19.819 1
13 24.338 1
13 28.368 1
13 29.886 1
13 32.425 1
13 40.491 1
13 43.542 1
13 44.57 1
13 49.624 3
13 53.668 1
13 55.701 1
13 58.724 2
13 61.747 1
13 62.758 1
13 64.795 1
13 66.82 1
13 71.366 2
13 74.423 1
13 75.945 1
13 76.457 1
13 79.498 1
13 81.039 1
13 82.562 1
13 85.598 1
13 89.141 1
13 89.656 1
13 90.678 1
13 93.195 1
13 94.727 1
13 96.756 1
13 103.306 1
13 108.329 1
13 115.366 1
13 121.897 1
13 127.439 1
13 127.953 1
13 131.49 1
13 132.018 1
13 134.053 1
13 135.574 1
13 137.606 1
13 139.637 1
13 141.66 1
13 143.676 1
13 145.692 1
13 147.711 1
13 149.744 1
13 151.766 1
13 154.282 1
13 155.793 1
13 156.308 1
13 157.821 1
13 159.852 1
13 165.389 3
13 166.909 1
13 167.937 1
13 169.477 1
13 170.488 1
13 173.525 1
13 178.059 1
13 178.568 2
13 182.596 1
13 184.115 1
13 184.629 1
13 187.667 1
13 188.193 1
13 193.233 1
13 193.742 1
13 195.269 1
13 196.808 1
13 199.833 1
13 200.356 1
13 201.372 1
13 202.901 1
13 203.94 1
13 204.965 1
13 206.481 1
13 209.009 1
13 211.03 1
13 212.543 1
13 214.558 1
13 217.077 1
13 218.587 1
13 221.119 2
13 223.649 1
13 225.667 1
13 226.678 1
13 230.218 1
13 232.255 1
13 249.349 7
13 250.408 1
13 251.948 1
13 259.015 3
13 260.047 1
13 262.59 1
13 265.122 2
13 265.634 1
13 269.163 1
13 270.2 1
13 271.225 1
13 271.736 1
13 274.751 1
13 275.261 1
13 276.787 1
13 277.322 1
13 279.348 1
13 280.864 1
13 284.386 1
13 285.899 1
13 286.909 1
13 290.43 1
13 290.939 1
13 292.453 1
13 294.469 1
13 297.989 1
13 298.499 1
13 302.036 1
13 302.547 1
13 307.072 1
13 321.638 3
13 323.168 1
13 325.214 1
13 337.276 1
13 340.308 1
13 341.333 1
13 344.857 1
13 346.369 2
13 349.391 1
13 350.401 1
13 353.434 2
13 353.959 1
13 355.473 1
13 357.996 2
13 359.529 1
13 360.061 1
13 361.586 1
13 364.104 1
13 365.643 1
13 366.159 1
13 367.688 1
13 370.215 1
13 372.732 2
13 374.264 1
13 383.835 1
13 413.978 15
13 418.058 1
13 418.569 1
13 420.596 1
13 421.622 1
13 424.147 1
13 425.672 1
13 426.196 1
13 427.732 1
13 432.256 1
13 432.777 1
13 435.304 1
13 435.813 1
13 437.83 1
13 439.849 2
13 442.377 1
13 444.891 1
13 445.916 1
13 448.967 1
13 449.991 1
13 453.028 1
13 453.556 1
13 454.079 1
13 466.639 1
13 468.162 3
13 478.228 8
13 478.769 1
13 480.792 1
13 481.318 1
13 482.346 1
13 485.866 1
13 486.386 1
13 488.406 1
13 491.435 1
13 492.449 1
13 494.966 2
13 495.479 1
13 497.507 1
13 499.55 1
13 501.579 1
13 503.594 1
13 505.606 1
13 508.137 1
13 510.669 1
13 511.692 1
13 513.705 1
13 515.731 1
13 518.277 1
13 520.794 1
13 524.813 1
13 525.336 1
13 537.43 6
13 537.957 1
13 539.972 1
13 544.497 1
13 548.032 2
13 549.044 1
13 552.079 1
13 553.105 1
13 554.13 1
13 556.175 1
13 557.202 1
13 559.747 1
13 561.285 1
13 563.815 1
13 565.842 2
13 567.889 1
13 570.405 1
13 571.921 1
13 573.952 1
13 576.491 1
13 577.523 1
13 580.061 1
13 584.107 2
13 586.634 1
13 587.66 1
13 613.797 9
13 615.344 1
13 617.37 1
13 624.414 5
13 625.948 1
13 628.483 1
13 628.992 1
13 631.506 1
13 632.014 1
13 634.037 1
13 635.571 1
13 637.594 1
13 639.611 1
13 641.647 1
13 643.687 1
13 645.727 1
13 647.752 1
13 649.789 1
13 652.824 1
13 653.837 1
13 655.853 1
13 657.884 1
13 660.914 1
13 662.44 1
13 663.97 1
13 665.512 1
13 688.128 9
13 690.712 1
13 692.248 1
13 698.297 2
13 700.838 1
13 707.906 5
13 708.445 1
13 708.957 1
13 714.505 1
13 717.026 1
13 719.543 2
13 720.576 1
13 723.622 1
13 725.143 1
13 729.678 1
13 730.202 1
13 730.714 1
13 732.743 1
13 734.268 1
13 735.285 1
13 766.426 1
13 772.98 1
13 777.527 8
13 778.1 1
13 780.119 1
13 781.639 1
13 783.673 1
13 785.708 1
13 789.736 2
13 792.255 1
13 794.269 1
13 795.795 1
13 797.83 1
13 798.34 1
13 802.878 1
13 808.923 4
13 815.971 1
13 823.014 1
13 825.534 1
13 836.094 8
13 836.617 1
13 838.646 1
13 841.692 1
13 842.706 1
13 845.221 1
13 845.729 1
13 848.244 1
13 849.769 1
13 851.302 1
13 853.323 1
13 854.849 1
13 856.896 1
13 858.423 1
13 860.939 1
13 862.96 1
13 864.973 1
13 867.007 2
13 869.535 1
13 871.563 1
13 873.608 1
13 876.152 1
13 877.19 1
13 889.757 1
13 894.784 2
13 929.969 6
