ID TIME #BLOCKS
21 1.013 1
21 1.532 3
21 3.55 1
21 5.563 1
21 8.579 1
21 11.109 3
21 13.665 1
21 18.697 1
21 21.217 4
21 24.251 1
21 30.786 1
21 35.313 2
21 45.385 3
21 47.933 1
21 50.45 1
21 53.969 1
21 56.985 1
21 59.503 2
21 62.538 1
21 63.067 1
21 65.111 1
21 67.14 1
21 72.176 1
21 72.702 1
21 75.222 1
21 76.748 1
21 77.289 1
21 80.317 1
21 81.328 1
21 83.344 1
21 85.872 1
21 89.915 1
21 90.444 1
21 91.454 1
21 93.481 1
21 95.508 1
21 97.034 1
21 103.571 1
21 106.606 1
21 112.645 1
21 130.729 4
21 132.264 2
21 134.301 1
21 136.329 1
21 138.373 1
21 140.404 1
21 142.42 1
21 144.435 1
21 146.464 1
21 148.508 1
21 150.032 1
21 152.047 1
21 154.575 1
21 156.616 1
21 158.662 1
21 160.178 1
21 166.21 2
21 167.74 1
21 169.274 1
21 171.301 1
21 173.834 1
21 178.884 1
21 179.399 2
21 180.912 1
21 185.435 3
21 188.974 2
21 194.022 1
21 194.544 1
21 195.565 1
21 197.594 1
21 200.641 2
21 202.173 1
21 203.699 1
21 204.226 1
21 205.742 1
21 207.261 1
21 209.281 1
21 211.315 1
21 213.35 1
21 215.372 1
21 217.913 1
21 219.457 1
21 221.482 2
21 225.024 1
21 226.071 1
21 227.609 2
21 230.149 1
21 233.179 1
21 233.697 1
21 235.208 1
21 239.231 1
21 243.268 1
21 245.802 1
21 247.314 1
21 247.823 1
21 249.845 1
21 252.377 1
21 258.924 3
21 260.479 1
21 261.502 1
21 263.538 1
21 266.065 2
21 270.105 1
21 270.618 1
21 272.133 2
21 275.66 2
21 276.187 1
21 277.216 1
21 277.726 1
21 279.75 1
21 281.268 1
21 284.795 1
21 286.33 1
21 287.364 1
21 291.413 2
21 293.452 1
21 295.508 1
21 298.541 1
21 299.066 1
21 303.1 2
21 308.128 3
21 320.704 2
21 322.72 1
21 328.262 1
21 336.821 1
21 339.343 1
21 341.86 1
21 346.884 1
21 353.933 5
21 354.468 1
21 355.002 1
21 356.532 1
21 358.566 1
21 362.108 1
21 364.128 1
21 366.142 1
21 370.177 1
21 373.728 2
21 376.766 1
21 383.816 5
21 388.884 1
21 411.52 13
21 412.567 1
21 414.106 1
21 418.65 2
21 420.667 1
21 422.193 1
21 424.222 1
21 426.251 1
21 428.29 1
21 433.331 2
21 436.366 1
21 436.888 1
21 438.923 1
21 440.968 1
21 441.486 1
21 442.497 1
21 446.028 1
21 446.547 1
21 449.565 1
21 450.086 1
21 453.122 1
21 454.656 1
21 455.18 1
21 458.203 1
21 459.737 1
21 462.763 1
21 463.291 1
21 467.319 1
21 469.343 1
21 472.361 2
21 474.393 1
21 476.936 1
21 479.468 1
21 481.511 1
21 482.024 1
21 483.053 1
21 486.576 1
21 487.103 1
21 490.13 1
21 496.157 1
21 500.681 2
21 505.215 1
21 507.255 1
21 510.777 7
21 514.307 1
21 515.318 1
21 520.863 5
21 524.895 2
21 527.915 1
21 528.939 1
21 530.979 2
21 532.525 1
21 535.054 1
21 536.068 1
21 538.106 1
21 540.632 1
21 554.211 5
21 558.265 1
21 564.289 4
21 565.806 1
21 566.816 1
21 568.842 1
21 570.867 1
21 572.392 1
21 574.418 1
21 576.949 1
21 580.988 1
21 583.504 3
21 606.62 10
21 612.179 1
21 612.714 1
21 617.767 2
21 620.298 1
21 625.352 2
21 627.374 1
21 628.888 1
21 629.397 1
21 629.908 1
21 632.427 2
21 634.947 1
21 636.477 1
21 638.518 1
21 640.539 1
21 643.056 1
21 644.582 1
21 646.617 1
21 648.661 1
21 653.703 1
21 659.73 5
21 664.266 1
21 671.318 1
21 672.343 1
21 674.868 1
21 675.39 1
21 677.432 1
21 680.972 2
21 681.998 1
21 684.031 1
21 684.541 1
21 685.553 1
21 686.064 1
21 687.576 1
21 690.591 1
21 691.113 1
21 691.627 1
21 695.665 1
21 700.216 2
21 702.751 1
21 703.777 1
21 705.291 1
21 707.81 1
21 709.327 1
21 713.364 1
21 717.405 1
21 719.92 2
21 720.43 1
21 721.944 1
21 724.478 1
21 725.513 1
21 731.064 1
21 732.604 2
21 744.185 3
21 748.747 1
21 749.772 2
21 761.349 1
21 762.861 1
21 763.871 1
21 765.392 1
21 775.953 1
21 776.99 1
21 778.513 1
21 780.544 1
21 782.085 1
21 784.112 1
21 786.129 1
21 790.165 2
21 793.206 1
21 794.719 1
21 797.234 1
21 798.759 2
21 801.8 1
21 802.325 1
21 804.341 1
21 806.366 1
21 808.908 1
21 810.456 1
21 810.972 1
21 812.506 1
21 813.024 1
21 816.045 1
21 823.58 5
21 828.623 1
21 841.194 4
21 842.727 1
21 843.252 1
21 845.771 1
21 849.291 1
21 850.802 1
21 851.323 1
21 853.868 1
21 855.395 1
21 857.419 1
21 859.459 1
21 861.49 1
21 864.007 1
21 866.023 1
21 867.537 1
21 883.622 7
21 884.172 1
21 884.682 1
21 886.208 1
21 890.266 1
21 896.326 1
