ID TIME MB
8 0.511 151302
8 10.607 164392
8 20.689 166486
8 30.78 172775
8 40.866 175916
8 50.954 179057
8 61.026 193954
8 71.115 198142
8 81.318 206329
8 91.408 209470
8 101.438 209470
8 111.468 209470
8 121.503 209470
8 131.589 220987
8 141.723 228971
8 151.87 236300
8 161.983 241738
8 172.031 241738
8 182.131 247396
8 192.188 248443
8 202.352 269230
8 212.503 276174
8 222.68 283307
8 232.863 289592
8 242.972 296928
8 253.03 297976
8 263.117 304271
8 273.261 318943
8 283.359 326083
8 293.439 332371
8 303.549 339523
8 313.627 344376
8 323.705 345425
8 333.795 350935
8 343.872 356641
8 353.956 362935
8 364.151 372383
8 374.23 379726
8 384.265 381432
8 394.31 381432
8 404.368 382481
8 414.438 398216
8 424.599 404321
8 434.744 410615
8 444.9 418154
8 454.996 422350
8 465.043 422350
8 475.192 430744
8 485.243 444007
8 495.432 451357
8 505.571 456803
8 515.693 462053
8 525.76 463103
8 535.827 468360
8 545.899 478707
8 556.027 497708
8 566.151 504015
8 576.256 509265
8 586.394 514319
8 596.533 521476
8 606.695 527586
8 616.77 528637
8 626.91 538762
8 637.044 546119
8 647.195 551374
8 657.331 556629
8 667.391 557680
8 677.514 563986
8 687.708 572009
8 697.756 573915
8 707.875 584652
8 718.001 588856
8 728.033 588856
8 738.078 588856
8 748.119 588856
8 758.156 588856
8 768.241 601475
8 778.388 619177
8 788.492 623381
8 798.587 630353
8 808.683 633506
8 818.753 644047
8 828.84 646149
8 838.919 650353
8 849.04 657514
8 859.182 663631
8 869.295 668886
8 879.428 673286
8 889.543 680251
8 899.625 684455
8 909.691 685506
8 919.741 685506
8 929.791 685506
8 939.838 685506
8 949.886 685506
8 959.939 685506
8 969.991 685506
8 980.042 685506
8 990.092 685506
8 1000.145 685506
8 1010.196 685506
8 1020.247 685506
8 1030.297 685506
8 1040.347 685506
8 1050.396 685506
8 1060.445 685506
8 1070.491 685506
8 1080.545 685506
8 1090.596 685506
8 1100.65 685506
8 1110.703 685506
8 1120.755 685506
8 1130.81 685506
8 1140.864 685506
8 1150.919 685506
8 1160.972 685506
8 1171.025 685506
8 1181.08 685506
8 1191.131 685506
8 1201.184 685506
8 1211.238 685506
8 1221.292 685506
8 1231.345 685506
8 1241.398 685506
8 1251.453 685506
8 1261.505 685506
8 1271.559 685506
8 1281.612 685506
8 1291.665 685506
8 1301.717 685506
8 1311.771 685506
8 1321.825 685506
8 1331.879 685506
8 1341.934 685506
8 1351.987 685506
8 1362.039 685506
8 1372.088 685506
8 1382.14 685506
8 1392.19 685506
8 1402.24 685506
8 1412.29 685506
8 1422.344 685506
8 1432.397 685506
8 1442.445 685506
8 1452.501 685506
8 1462.556 685506
8 1472.608 685506
8 1482.666 685506
8 1492.72 685506
8 1502.78 685506
8 1512.843 685506
8 1522.899 685506
8 1532.956 685506
8 1543.016 685506
8 1553.068 685506
8 1563.122 685506
8 1573.185 685506
8 1583.239 685506
8 1593.293 685506
8 1603.348 685506
8 1613.403 685506
8 1623.461 685506
8 1633.524 685506
8 1643.584 685506
8 1653.641 685506
8 1663.699 685506
8 1673.758 685506
8 1683.815 685506
8 1693.872 685506
8 1703.928 685506
8 1713.985 685506
8 1724.045 685506
8 1734.103 685506
8 1744.162 685506
8 1754.217 685506
8 1764.27 685506
8 1774.325 685506
8 1784.386 685506
8 1794.445 685506
8 1804.496 685506
8 1814.554 685506
8 1824.614 685506
