ID TIME BLOCK BALANCE #RESOURCES
4 0.511 2 21.00 0
4 3.034 3 21.00 0
4 5.072 4 21.00 0
4 7.093 5 21.00 0
4 8.606 6 21.00 0
4 10.118 6 21.00 0
4 10.627 6 21.00 0
4 11.136 7 21.00 0
4 15.66 8 21.00 0
4 16.192 9 21.00 0
4 20.717 10 21.00 0
4 23.233 11 21.00 0
4 23.741 11 21.00 0
4 26.778 12 21.00 0
4 29.81 13 21.00 0
4 32.827 14 21.00 0
4 34.849 15 21.00 0
4 40.378 16 21.00 0
4 42.411 17 21.00 0
4 54.973 19 21.00 0
4 57.996 20 21.00 0
4 59.509 21 21.00 0
4 60.019 21 21.00 1
4 61.032 22 21.00 1
4 64.572 23 21.00 1
4 67.606 24 21.00 2
4 69.655 25 21.00 2
4 70.689 26 21.00 2
4 72.712 27 21.00 2
4 74.73 28 21.00 2
4 77.785 29 21.00 2
4 78.809 30 21.00 2
4 80.837 31 21.00 2
4 83.36 32 21.00 2
4 84.876 33 21.00 2
4 86.902 34 21.00 2
4 88.419 35 21.00 2
4 90.439 36 21.00 2
4 92.959 37 21.00 2
4 93.971 37 21.00 2
4 94.493 38 21.00 2
4 97.513 39 21.00 2
4 102.033 40 21.00 2
4 108.556 41 21.00 2
4 118.608 42 21.00 2
4 124.131 43 21.00 2
4 142.197 50 21.00 2
4 143.233 51 21.00 2
4 143.757 51 21.00 2
4 145.276 52 21.00 2
4 146.791 53 21.00 2
4 148.828 54 21.00 2
4 151.36 55 21.00 2
4 151.892 55 21.00 2
4 152.906 56 21.00 2
4 155.441 57 21.00 2
4 158.49 58 21.00 2
4 160.037 59 21.00 2
4 162.06 60 21.00 2
4 164.585 61 21.00 2
4 168.124 62 21.00 2
4 168.636 63 21.00 2
4 171.657 64 21.00 2
4 176.682 65 21.00 2
4 181.206 66 21.00 2
4 185.762 67 21.00 2
4 219.887 83 21.00 2
4 220.436 84 21.00 2
4 221.953 85 21.00 2
4 223.468 86 21.00 2
4 226.012 87 21.00 2
4 227.539 88 21.00 2
4 229.556 89 21.00 2
4 232.076 90 21.00 2
4 234.09 91 21.00 2
4 238.123 92 21.00 2
4 238.647 93 21.00 2
4 241.167 94 21.00 2
4 242.691 95 21.00 2
4 244.726 96 21.00 2
4 246.757 97 21.00 2
4 255.296 98 21.00 2
4 260.321 100 21.00 2
4 262.838 101 21.00 2
4 273.377 104 21.00 2
4 274.896 105 21.00 2
4 276.414 106 21.00 2
4 279.44 107 21.00 2
4 280.453 108 21.00 2
4 282.971 109 21.00 2
4 284.493 110 21.00 2
4 286.011 111 21.00 2
4 288.028 112 21.00 2
4 291.048 113 21.00 2
4 291.575 113 21.00 2
4 293.621 114 21.00 2
4 299.146 115 21.00 2
4 320.723 126 21.00 2
4 322.765 127 21.00 2
4 323.283 127 21.00 2
4 325.806 128 21.00 2
4 326.348 129 21.00 2
4 330.878 130 21.00 2
4 332.894 131 21.00 2
4 337.943 132 21.00 2
4 341.967 134 21.00 2
4 350.001 135 21.00 2
4 361.056 143 21.00 2
4 363.591 144 21.00 2
4 364.605 145 21.00 2
4 366.125 146 21.00 2
4 366.64 146 21.00 2
4 368.658 147 21.00 2
4 370.174 148 21.00 2
4 371.697 149 21.00 2
4 372.214 149 21.00 2
4 374.25 150 21.00 2
4 376.277 151 21.00 2
4 378.821 152 21.00 2
4 380.369 153 21.00 2
4 381.888 154 21.00 1
4 383.903 155 21.00 1
4 385.415 156 21.00 1
4 389.435 157 21.00 1
4 390.461 158 21.00 1
4 390.978 158 21.00 1
4 393.499 159 21.00 1
4 409.06 160 21.00 1
4 415.09 163 21.00 1
4 415.619 165 21.00 1
4 416.642 166 21.00 1
4 420.162 167 21.00 1
4 421.177 168 21.00 1
4 423.191 169 21.00 1
4 430.225 170 21.00 1
4 439.76 177 21.00 1
4 440.789 178 21.00 1
4 444.314 179 21.00 0
4 446.839 180 21.00 0
4 448.857 182 21.00 0
4 452.382 183 21.00 0
4 453.397 184 21.00 0
4 455.426 185 21.00 0
4 456.436 186 21.00 0
4 459.453 187 21.00 0
4 469.494 188 21.00 0
4 482.047 189 21.00 0
4 513.653 209 21.00 2
4 514.707 210 21.00 2
4 519.733 211 21.00 2
4 521.273 212 21.00 2
4 523.289 213 21.00 2
4 524.804 214 21.00 2
4 526.33 215 21.00 2
4 528.846 216 21.00 2
4 529.36 216 21.00 2
4 532.39 217 21.00 2
4 532.902 218 21.00 2
4 537.426 219 21.00 2
4 540.448 220 21.00 2
4 546.472 222 21.00 2
4 549.0 223 21.00 2
4 550.515 224 21.00 2
4 551.533 225 21.00 2
4 554.556 226 21.00 2
4 555.571 227 21.00 2
4 559.12 228 21.00 2
4 560.161 229 21.00 2
4 561.681 230 21.00 2
4 564.199 231 21.00 2
4 565.216 231 21.00 2
4 566.738 232 21.00 2
4 567.779 233 21.00 2
4 575.813 237 21.00 2
4 579.366 238 21.00 2
4 579.92 239 21.00 2
4 581.939 240 21.00 2
4 585.961 242 21.00 2
4 587.485 243 21.00 2
4 589.535 244 21.00 2
4 592.065 245 21.00 2
4 592.577 245 21.00 2
4 594.092 246 21.00 2
4 596.105 247 21.00 2
4 598.12 248 21.00 2
4 602.144 250 21.00 2
4 604.162 251 21.00 2
4 606.189 252 21.00 2
4 609.715 254 21.00 2
4 611.737 255 21.00 2
4 614.767 256 21.00 2
