ID TIME #BLOCKS
20 1.035 1
20 1.549 1
20 3.063 1
20 5.577 2
20 6.09 2
20 7.607 1
20 9.635 3
20 11.668 3
20 14.191 1
20 15.205 1
20 17.719 1
20 68.387 14
20 70.45 1
20 71.473 1
20 73.491 1
20 75.509 1
20 78.526 1
20 79.039 1
20 81.087 1
20 84.129 1
20 85.646 1
20 87.162 1
20 89.71 1
20 100.255 4
20 103.277 1
20 109.302 1
20 114.323 1
20 118.344 1
20 130.897 3
20 134.943 1
20 136.464 1
20 136.978 1
20 138.495 1
20 142.045 1
20 143.567 1
20 144.583 1
20 145.599 1
20 147.633 1
20 149.656 1
20 152.18 1
20 153.197 1
20 155.214 1
20 158.735 1
20 160.756 1
20 162.277 1
20 164.796 1
20 167.312 1
20 168.327 1
20 168.841 1
20 171.361 1
20 172.877 2
20 174.895 1
20 177.934 1
20 183.47 1
20 185.984 2
20 192.032 1
20 192.547 1
20 197.594 1
20 199.639 1
20 200.17 1
20 201.685 1
20 203.7 1
20 205.215 1
20 207.233 1
20 209.771 1
20 210.789 1
20 212.307 1
20 214.827 1
20 216.844 1
20 218.358 1
20 220.883 1
20 222.397 1
20 224.415 1
20 226.429 1
20 228.447 1
20 228.96 1
20 230.481 1
20 232.498 1
20 235.016 1
20 238.54 1
20 239.552 1
20 241.57 1
20 243.588 1
20 245.111 1
20 247.127 1
20 247.642 1
20 253.171 1
20 261.209 2
20 263.731 2
20 266.757 1
20 271.786 1
20 273.312 1
20 275.33 1
20 275.856 1
20 276.881 2
20 278.937 1
20 280.461 1
20 283.484 1
20 284.501 1
20 286.538 1
20 288.555 1
20 291.575 2
20 293.093 1
20 294.609 1
20 296.627 1
20 298.163 1
20 301.696 2
20 302.21 1
20 304.228 1
20 307.765 1
20 311.286 1
20 315.311 1
20 359.436 20
20 360.987 1
20 363.523 1
20 365.068 1
20 366.086 1
20 369.628 1
20 370.645 2
20 372.171 1
20 374.19 1
20 377.21 1
20 378.247 1
20 380.29 1
20 382.307 1
20 384.85 1
20 390.386 1
20 390.912 1
20 393.449 1
20 400.485 5
20 401.506 1
20 407.546 1
20 417.606 4
20 421.138 1
20 421.652 1
20 422.166 1
20 423.679 1
20 424.189 1
20 425.2 1
20 427.736 1
20 429.757 1
20 431.271 1
20 433.8 1
20 435.339 1
20 437.863 1
20 439.383 1
20 441.404 1
20 444.443 1
20 445.462 1
20 472.064 7
20 475.601 1
20 494.677 12
20 495.211 1
20 496.726 1
20 499.261 1
20 500.776 1
20 503.324 1
20 504.345 1
20 504.878 1
20 506.396 1
20 508.41 1
20 511.446 1
20 511.961 1
20 512.478 1
20 516.502 1
20 518.019 2
20 519.034 1
20 521.053 1
20 526.078 2
20 529.109 1
20 529.626 1
20 531.64 1
20 533.656 1
20 540.689 1
20 542.204 1
20 543.719 1
20 546.741 2
20 549.763 1
20 550.795 1
20 552.82 1
20 555.34 1
20 556.353 1
20 559.372 1
20 560.385 1
20 562.401 1
20 564.917 1
20 567.437 1
20 568.452 1
20 571.972 1
20 573.488 1
20 575.501 1
20 576.516 1
20 578.552 1
20 580.568 1
20 581.582 1
20 582.095 1
20 584.611 1
20 586.125 1
20 588.141 1
20 590.185 1
20 592.205 1
20 595.224 1
20 596.738 1
20 599.755 1
20 609.799 1
20 614.336 1
20 619.365 3
20 642.944 18
20 653.015 5
20 654.545 1
20 657.571 1
20 658.592 1
20 661.613 2
20 662.653 1
20 669.196 1
20 669.708 1
20 670.222 1
20 707.842 15
20 708.385 1
20 717.929 6
20 718.464 1
20 721.01 1
20 723.039 1
20 725.056 1
20 726.08 1
20 727.603 1
20 728.63 1
20 730.647 1
20 732.662 1
20 736.194 1
20 737.208 1
20 738.75 1
20 741.271 1
20 743.306 2
20 744.322 1
20 746.357 1
20 752.888 2
20 753.903 1
20 755.919 1
20 766.956 1
20 771.979 1
20 772.994 1
20 774.007 1
20 776.028 1
20 779.059 1
20 779.575 1
20 782.593 1
20 783.106 1
20 784.119 1
20 786.636 1
20 788.173 1
20 788.686 1
20 790.201 1
20 792.717 1
20 794.24 1
20 796.783 2
20 798.813 2
20 800.836 1
20 802.383 1
20 804.933 1
20 806.952 1
20 808.479 1
20 810.498 1
20 814.021 1
20 815.542 1
20 817.561 1
20 820.089 1
20 824.109 1
20 826.146 3
20 826.669 1
20 828.182 1
20 829.195 1
20 833.219 1
20 834.235 1
20 838.761 1
20 839.776 3
20 841.293 1
20 844.813 1
20 846.826 1
20 848.346 1
20 849.861 1
20 851.387 1
20 853.403 1
20 855.42 1
20 857.937 1
20 859.95 1
20 861.462 1
20 863.478 1
20 865.494 1
20 867.508 1
20 871.027 2
20 873.047 1
20 873.557 1
20 875.072 1
20 877.589 1
20 878.605 1
20 880.123 1
20 888.159 1
20 889.692 2
20 897.236 1
