ID TIME MB
17 0.542 151226
17 10.663 164708
17 20.8 172503
17 30.859 174597
17 40.893 174597
17 50.921 174597
17 60.996 192993
17 71.141 201879
17 81.283 207121
17 91.389 214058
17 101.48 219293
17 111.523 221387
17 121.549 221387
17 131.648 229313
17 141.771 237727
17 151.908 245403
17 162.002 252319
17 172.112 258095
17 182.173 262087
17 192.206 262087
17 202.235 262087
17 212.356 280186
17 222.456 286272
17 232.58 296846
17 242.657 303226
17 252.69 303226
17 262.787 315328
17 272.849 321450
17 282.932 330164
17 293.023 338359
17 303.096 342044
17 313.128 343092
17 323.157 343092
17 333.231 356248
17 343.305 363120
17 353.355 373332
17 363.437 383006
17 373.564 391939
17 383.631 396135
17 393.771 408321
17 403.805 408321
17 413.837 409370
17 423.915 426108
17 434.014 434827
17 444.099 437974
17 454.124 437974
17 464.202 444811
17 474.282 449007
17 484.32 450599
17 494.444 475185
17 504.53 480586
17 514.693 487936
17 524.718 487936
17 534.771 497420
17 544.807 497420
17 554.838 497420
17 564.865 497420
17 574.946 521132
17 585.094 529659
17 595.16 531962
17 605.295 545612
17 615.398 551913
17 625.48 557740
17 635.579 568181
17 645.669 576856
17 655.762 585157
17 665.84 591811
17 675.911 600257
17 685.952 602359
17 695.988 602359
17 706.063 621349
17 716.182 629054
17 726.264 634858
17 736.299 641690
17 746.383 650642
17 756.429 651693
17 766.464 651693
17 776.504 652744
17 786.578 676270
17 796.701 683468
17 806.856 696278
17 816.925 702388
17 827.029 707643
17 837.111 715544
17 847.184 727284
17 857.27 740136
17 867.357 747841
17 877.419 755323
17 887.544 762140
17 897.608 765326
17 907.647 765326
17 917.687 765326
