ID TIME MB
12 0.501 149592
12 10.59 163320
12 20.668 166461
12 30.708 168555
12 40.795 178028
12 50.837 182247
12 60.888 190278
12 70.969 200211
12 81.068 205453
12 91.173 211343
12 101.272 215531
12 111.294 215531
12 121.327 216578
12 131.359 216578
12 141.463 232322
12 151.599 240003
12 161.701 248222
12 171.831 255045
12 181.908 259233
12 191.943 259233
12 202.143 276116
12 212.262 282398
12 222.346 288484
12 232.43 299205
12 242.503 305839
12 252.601 310031
12 262.635 310031
12 272.698 319070
12 282.784 336390
12 292.873 343726
12 303.008 352651
12 313.136 356843
12 323.192 369503
12 333.293 379174
12 343.369 385284
12 353.456 396494
12 363.534 401746
12 373.658 410287
12 383.78 419842
12 393.887 426225
12 403.991 433170
12 414.021 433170
12 424.122 449545
12 434.259 458649
12 444.406 464444
12 454.53 468640
12 464.616 474738
12 474.647 474738
12 484.706 482109
12 494.816 497008
12 504.9 503263
12 514.994 508513
12 525.06 514395
12 535.085 514395
12 545.169 523577
12 555.272 538429
12 565.362 545272
12 575.495 556145
12 585.597 564483
12 595.631 565533
12 605.745 579379
12 615.83 585484
12 625.939 591311
12 636.059 601752
12 646.213 611478
12 656.306 618636
12 666.382 623384
12 676.461 630791
12 686.503 638179
12 696.612 655972
12 706.736 666418
12 716.833 672528
12 726.903 678129
12 737.022 692203
12 747.128 700609
12 757.258 708585
12 767.326 711788
12 777.458 715992
12 787.582 727098
12 797.709 735657
12 807.903 747099
12 818.086 756362
12 828.163 760573
12 838.256 766176
12 848.294 767227
12 858.32 767227
12 868.346 767227
12 878.368 767227
12 888.485 799588
12 898.553 805203
12 908.595 805203
12 918.646 805203
