ID TIME #BLOCKS
12 1.009 1
12 1.518 2
12 3.532 1
12 5.544 3
12 8.068 1
12 9.079 1
12 12.601 2
12 18.647 1
12 21.176 1
12 31.215 1
12 34.24 6
12 35.278 1
12 43.804 3
12 58.865 3
12 60.382 1
12 61.394 2
12 64.915 1
12 67.938 1
12 70.459 1
12 71.478 1
12 73.496 1
12 75.011 1
12 78.534 1
12 79.046 1
12 81.063 1
12 83.584 1
12 85.601 1
12 87.117 1
12 89.661 1
12 92.697 1
12 93.209 1
12 93.722 1
12 98.762 1
12 113.806 1
12 136.382 10
12 138.426 1
12 138.949 1
12 141.997 1
12 144.032 1
12 145.55 1
12 147.065 1
12 149.083 1
12 152.112 1
12 153.131 1
12 155.149 1
12 158.672 1
12 160.692 1
12 162.73 1
12 165.261 1
12 167.28 1
12 167.791 1
12 168.804 1
12 171.323 1
12 172.338 1
12 173.353 1
12 179.39 2
12 192.953 1
12 195.471 1
12 196.506 2
12 197.553 1
12 199.603 1
12 200.125 1
12 201.137 1
12 203.652 1
12 205.166 1
12 207.181 1
12 209.717 1
12 210.731 1
12 212.255 1
12 214.777 1
12 216.796 1
12 218.311 1
12 221.33 1
12 222.342 1
12 224.86 1
12 226.373 1
12 228.394 1
12 230.409 1
12 232.426 1
12 234.444 1
12 238.966 1
12 239.477 1
12 241.493 1
12 243.512 1
12 245.046 1
12 247.068 1
12 252.093 1
12 265.65 5
12 270.184 1
12 275.715 4
12 276.236 1
12 279.255 1
12 280.771 1
12 283.294 1
12 284.308 1
12 286.325 1
12 288.341 1
12 291.359 3
12 293.384 1
12 294.904 1
12 296.425 1
12 298.443 1
12 301.463 1
12 301.975 1
12 302.496 1
12 305.544 1
12 308.592 1
12 312.126 2
12 322.671 4
12 323.188 1
12 323.722 1
12 327.249 1
12 332.78 3
12 337.812 1
12 340.334 1
12 340.849 1
12 343.365 1
12 344.378 1
12 348.901 1
12 349.916 1
12 351.432 1
12 352.447 1
12 356.472 2
12 359.494 1
12 360.005 1
12 363.527 1
12 365.052 1
12 366.084 1
12 369.113 1
12 370.631 1
12 372.148 1
12 374.173 1
12 376.697 1
12 378.714 1
12 380.731 1
12 383.262 1
12 384.287 1
12 386.303 1
12 390.333 1
12 390.86 1
12 391.375 1
12 394.409 1
12 395.441 1
12 400.468 1
12 403.986 1
12 416.533 5
12 417.053 1
12 421.077 1
12 422.09 1
12 423.604 1
12 424.117 1
12 425.633 1
12 427.146 1
12 430.168 2
12 431.191 1
12 433.736 1
12 434.253 1
12 435.293 1
12 437.813 1
12 439.332 1
12 441.355 1
12 444.395 1
12 445.413 1
12 448.942 1
12 449.47 1
12 452.506 1
12 455.04 1
12 461.076 3
12 481.17 5
12 483.695 1
12 485.214 2
12 485.73 1
12 486.749 1
12 489.769 1
12 493.293 1
12 494.309 2
12 496.828 1
12 499.346 1
12 500.359 1
12 502.874 1
12 504.894 1
12 506.912 1
12 508.44 1
12 511.46 2
12 511.978 1
12 517.007 1
12 518.023 2
12 521.047 1
12 536.596 6
12 540.128 1
12 543.656 1
12 549.188 5
12 549.71 1
12 550.223 1
12 552.743 2
12 555.266 1
12 556.281 1
12 559.299 1
12 560.312 1
12 562.326 1
12 562.839 1
12 564.857 1
12 565.872 1
12 567.389 2
12 568.407 1
12 571.928 1
12 572.463 1
12 575.489 1
12 576.002 1
12 579.525 1
12 580.055 1
12 581.07 1
12 584.589 1
12 590.616 1
12 597.145 8
12 597.687 1
12 598.703 1
12 602.722 2
12 604.738 1
12 606.757 1
12 610.28 2
12 612.299 1
12 615.325 1
12 616.338 1
12 618.354 1
12 620.389 1
12 623.419 1
12 626.446 1
12 627.977 1
12 628.495 1
12 630.512 1
12 633.53 1
12 634.048 1
12 637.072 1
12 638.593 1
12 642.14 1
12 642.665 1
12 644.188 1
12 646.207 1
12 649.23 1
12 650.744 1
12 652.762 1
12 655.284 1
12 656.3 1
12 657.314 1
12 658.331 1
12 661.851 1
12 662.863 1
12 667.4 1
12 672.428 4
12 674.45 1
12 682.481 4
12 687.512 1
12 691.533 4
12 694.057 5
12 696.6 1
12 699.134 1
12 701.654 2
12 702.676 1
12 704.703 1
12 706.227 1
12 708.247 1
12 710.768 1
12 712.794 1
12 715.313 1
12 716.327 1
12 718.344 1
12 720.86 1
12 723.376 1
12 725.394 1
12 727.411 1
12 728.426 1
12 730.963 3
12 731.986 1
12 736.511 2
12 739.038 1
12 742.561 1
12 743.08 2
12 744.601 1
12 745.619 1
12 748.154 1
12 750.682 1
12 755.235 3
12 767.321 1
12 771.848 1
12 772.881 1
12 773.403 1
12 775.942 1
12 777.966 1
12 779.491 1
12 781.004 1
12 782.518 1
12 783.03 1
12 784.045 1
12 786.573 1
12 788.109 1
12 790.133 1
12 792.651 1
12 794.68 1
12 796.197 1
12 798.217 1
12 800.751 1
12 802.289 1
12 804.344 1
12 804.877 1
12 806.896 1
12 808.427 1
12 810.446 1
12 813.475 1
12 815.01 1
12 817.529 1
12 818.072 2
12 821.103 1
12 824.624 1
12 826.143 1
12 827.658 1
12 829.192 1
12 832.225 1
12 836.748 1
12 839.766 1
12 887.415 25
12 889.998 1
12 892.015 1
12 898.548 1
