ID TIME #BLOCKS
10 1.04 1
10 1.559 1
10 3.598 2
10 4.127 2
10 6.143 1
10 7.154 1
10 8.673 1
10 9.683 1
10 13.713 1
10 14.234 1
10 20.778 1
10 49.416 11
10 53.461 2
10 54.486 1
10 56.516 1
10 59.036 1
10 59.545 1
10 62.066 1
10 63.092 1
10 67.137 1
10 81.202 9
10 83.246 1
10 85.276 1
10 89.795 1
10 90.304 1
10 91.818 1
10 92.841 1
10 95.389 1
10 96.917 1
10 101.959 1
10 140.641 11
10 142.182 1
10 144.195 1
10 146.724 1
10 148.262 1
10 149.784 1
10 151.802 1
10 154.332 1
10 156.37 1
10 157.394 1
10 158.414 1
10 159.929 1
10 165.96 2
10 176.035 4
10 178.559 1
10 179.073 1
10 179.599 1
10 180.135 1
10 183.164 1
10 183.7 1
10 184.739 1
10 188.273 1
10 188.781 1
10 193.824 1
10 194.346 1
10 195.356 1
10 197.884 1
10 200.417 1
10 201.929 1
10 203.959 1
10 205.484 1
10 207.511 2
10 214.056 1
10 226.131 7
10 227.69 1
10 231.721 1
10 235.757 5
10 239.316 1
10 242.837 1
10 243.359 1
10 247.403 2
10 250.44 1
10 252.467 1
10 260.524 4
10 261.569 1
10 262.079 1
10 265.096 1
10 265.605 1
10 266.119 1
10 270.162 1
10 271.703 2
10 275.252 2
10 275.776 1
10 277.313 1
10 277.837 1
10 279.361 1
10 280.874 1
10 284.91 1
10 285.923 1
10 287.441 1
10 293.469 3
10 294.993 1
10 297.021 1
10 307.082 4
10 311.628 1
10 317.164 2
10 323.706 1
10 325.242 1
10 337.324 1
10 340.361 1
10 341.379 1
10 364.484 9
10 366.011 1
10 370.536 1
10 377.076 7
10 379.62 1
10 387.195 5
10 397.243 4
10 399.778 1
10 407.348 1
10 408.864 1
10 409.89 1
10 412.409 1
10 413.921 1
10 418.446 2
10 420.477 1
10 421.996 1
10 424.023 1
10 426.054 1
10 428.075 1
10 432.6 1
10 433.121 1
10 435.648 1
10 436.156 1
10 438.686 1
10 440.72 1
10 442.233 1
10 445.765 1
10 446.295 1
10 449.315 1
10 449.836 1
10 452.871 1
10 454.909 1
10 457.946 1
10 459.478 1
10 463.031 2
10 466.567 1
10 468.594 1
10 472.127 2
10 474.652 1
10 476.683 1
10 479.218 1
10 481.258 1
10 482.787 1
10 486.322 1
10 487.336 1
10 488.857 1
10 491.389 1
10 492.926 1
10 504.996 1
10 507.016 1
10 512.539 7
10 514.063 1
10 514.582 1
10 515.09 1
10 520.623 1
10 526.653 7
10 528.178 1
10 529.201 1
10 530.745 2
10 531.78 1
10 532.315 1
10 535.356 1
10 535.878 2
10 537.912 1
10 540.946 1
10 543.994 1
10 545.019 1
10 548.554 1
10 549.59 1
10 552.607 1
10 553.631 1
10 558.179 1
10 569.246 8
10 571.314 1
10 573.835 1
10 579.368 2
10 579.892 1
10 584.446 2
10 588.989 5
10 592.537 2
10 593.061 1
10 596.593 1
10 597.616 2
10 603.684 3
10 612.264 2
10 617.315 1
10 617.833 1
10 629.401 6
10 629.959 1
10 636.019 1
10 639.048 5
10 640.067 1
10 642.594 1
10 644.616 1
10 646.128 1
10 648.155 1
10 650.183 1
10 653.206 1
10 654.219 1
10 656.753 1
10 658.275 1
10 664.315 1
10 675.899 4
10 677.429 1
10 680.478 1
10 681.997 1
10 683.021 1
10 684.03 2
10 685.558 1
10 687.588 1
10 688.099 1
10 690.121 1
10 691.144 1
10 695.171 1
10 700.221 1
10 700.731 1
10 702.759 1
10 703.798 1
10 704.337 1
10 704.851 1
10 707.888 1
10 709.423 1
10 712.452 1
10 724.52 6
10 725.058 1
10 725.567 1
10 730.605 1
10 732.145 1
10 732.667 1
10 738.198 1
10 739.209 1
10 742.729 1
10 743.753 1
10 747.8 1
10 749.314 1
10 760.88 1
10 762.42 1
10 763.458 1
10 764.982 1
10 776.047 1
10 781.077 3
10 782.104 1
10 785.654 1
10 791.181 4
10 792.713 1
10 794.246 1
10 794.772 1
10 796.299 1
10 798.336 2
10 801.381 1
10 801.898 1
10 803.925 1
10 805.966 1
10 808.491 1
10 810.527 1
10 812.049 1
10 814.58 1
10 816.618 1
10 818.138 1
10 821.677 1
10 823.718 1
10 828.258 1
10 844.351 5
10 845.37 2
10 848.905 2
10 850.945 2
10 853.967 1
10 855.493 1
10 857.018 1
10 859.045 1
10 861.078 1
10 863.121 1
10 865.651 1
10 867.177 2
10 870.201 1
10 872.226 1
10 873.767 1
10 876.302 1
10 877.312 1
10 877.821 1
10 880.855 1
10 883.395 1
10 884.407 1
10 886.422 1
10 889.956 1
10 896.01 1
10 920.133 1
